date,rate
2023-07-18,1.9800
2023-07-19,1.9500
2023-07-20,1.9000
2023-07-21,1.8500
2023-07-24,1.8100
2023-07-25,2.1500
2023-07-26,2.1500
2023-07-27,2.1000
2023-07-28,2.0000
2023-07-31,1.9700
2023-08-01,1.8500
2023-08-02,1.8300
2023-08-03,1.7500
2023-08-04,1.7000
2023-08-07,1.7200
2023-08-08,1.8000
2023-08-09,1.8000
2023-08-10,1.7800
2023-08-11,1.7800
2023-08-14,1.8500
2023-08-15,1.9300
2023-08-16,1.9000
2023-08-17,1.9500
2023-08-18,1.9500
2023-08-21,1.9500
2023-08-22,1.9500
2023-08-23,1.9300
2023-08-24,1.8500
2023-08-25,2.1500
2023-08-28,2.2000
2023-08-29,2.2500
2023-08-30,2.4000
2023-08-31,2.2800
2023-09-01,1.9500
2023-09-04,1.8600
2023-09-05,1.8500
2023-09-06,1.8800
2023-09-07,2.0000
2023-09-08,2.0000
2023-09-11,2.0500
2023-09-12,2.0000
2023-09-13,1.9800
2023-09-14,2.0500
2023-09-15,2.0000
2023-09-18,2.0800
2023-09-19,2.1500
2023-09-20,2.1500
2023-09-21,2.1500
2023-09-22,2.0000
2023-09-25,1.9725
2023-09-26,1.9500
2023-09-27,1.8300
2023-09-28,2.2000
2023-10-07,1.8500
2023-10-08,1.8000
2023-10-09,2.0100
2023-10-10,2.0500
2023-10-11,2.1400
2023-10-12,2.1000
2023-10-13,2.0500
2023-10-16,2.0500
2023-10-17,2.0000
2023-10-18,2.0500
2023-10-19,2.3000
2023-10-20,2.8000
2023-10-23,2.6000
2023-10-24,2.7000
2023-10-25,2.8000
2023-10-26,2.5000
2023-10-27,2.5000
2023-10-30,2.5000
2023-10-31,2.5000
2023-11-01,2.4000
2023-11-02,2.0000
2023-11-03,1.8200
2023-11-06,2.0000
2023-11-07,2.0300
2023-11-08,2.0500
2023-11-09,2.0500
2023-11-10,2.0300
2023-11-13,2.0500
2023-11-14,2.2000
2023-11-15,2.2200
2023-11-16,2.2000
2023-11-17,2.2500
2023-11-20,2.2500
2023-11-21,2.2000
2023-11-22,2.2000
2023-11-23,2.2500
2023-11-24,2.9600
2023-11-27,3.3000
2023-11-28,3.4000
2023-11-29,3.6000
2023-11-30,2.7500
2023-12-01,2.1500
2023-12-04,2.1000
2023-12-05,2.2500
2023-12-06,2.2500
2023-12-07,2.2500
2023-12-08,2.3000
2023-12-11,2.3500
2023-12-12,2.4000
2023-12-13,2.2500
2023-12-14,2.2500
2023-12-15,2.2000
2023-12-18,2.2000
2023-12-19,2.2000
2023-12-20,2.2000
2023-12-21,2.0200
2023-12-22,2.0500
2023-12-25,1.8117
2023-12-26,4.3500
2023-12-27,4.0000
2023-12-28,3.2000
2023-12-29,2.4000
2024-01-02,2.1000
2024-01-03,2.1500
2024-01-04,2.2500
2024-01-05,2.1500
2024-01-08,2.2000
2024-01-09,2.2900
2024-01-10,2.2000
2024-01-11,2.2000
2024-01-12,2.2000
2024-01-15,2.2500
2024-01-16,2.2500
2024-01-17,2.3000
2024-01-18,2.2000
2024-01-19,2.1500
2024-01-22,2.1000
2024-01-23,2.1500
2024-01-24,2.1200
2024-01-25,2.3500
2024-01-26,2.4000
2024-01-29,2.5000
2024-01-30,2.3500
2024-01-31,2.3500
2024-02-01,1.9500
2024-02-02,2.2100
2024-02-04,1.9544
2024-02-05,1.9310
2024-02-06,1.9500
2024-02-07,1.9500
2024-02-08,1.8000
2024-02-09,1.8500
2024-02-18,1.8100
2024-02-19,2.0500
2024-02-20,1.9500
2024-02-21,2.0000
2024-02-22,2.0000
2024-02-23,2.2000
2024-02-26,2.1500
2024-02-27,2.1500
2024-02-28,2.1000
2024-02-29,2.0500
2024-03-01,2.0000
2024-03-04,2.0000
2024-03-05,2.0400
2024-03-06,2.0500
2024-03-07,2.0000
2024-03-08,2.0000
2024-03-11,2.0000
2024-03-12,2.0000
2024-03-13,2.0000
2024-03-14,2.0000
2024-03-15,2.0000
2024-03-18,2.0000
2024-03-19,2.0000
2024-03-20,2.0000
2024-03-21,2.0000
2024-03-22,2.0500
2024-03-25,2.4000
2024-03-26,2.4000
2024-03-27,2.4500
2024-03-28,2.3500
2024-03-29,2.3000
2024-04-01,2.0500
2024-04-02,2.1000
2024-04-03,2.0000
2024-04-07,1.8500
2024-04-08,2.0000
2024-04-09,1.9500
2024-04-10,1.9000
2024-04-11,1.9200
2024-04-12,1.9000
2024-04-15,1.9000
2024-04-16,1.9000
2024-04-17,1.9500
2024-04-18,1.9000
2024-04-19,1.9000
2024-04-22,1.9000
2024-04-23,1.9000
2024-04-24,1.9000
2024-04-25,1.9800
2024-04-26,1.9500
2024-04-28,1.9800
2024-04-29,2.0800
2024-04-30,2.1000
2024-05-06,1.9500
2024-05-07,1.9000
2024-05-08,1.9000
2024-05-09,1.9000
2024-05-10,1.8700
2024-05-11,1.8500
2024-05-13,1.8800
2024-05-14,1.8500
2024-05-15,1.8200
2024-05-16,1.8200
2024-05-17,1.8000
2024-05-20,1.8100
2024-05-21,1.8500
2024-05-22,1.8500
2024-05-23,1.8300
2024-05-24,1.8200
2024-05-27,1.9500
2024-05-28,1.9500
2024-05-29,1.9800
2024-05-30,1.9500
2024-05-31,1.8800
2024-06-03,1.8400
2024-06-04,1.8300
2024-06-05,1.8400
2024-06-06,1.8400
2024-06-07,1.8500
2024-06-11,1.8300
2024-06-12,1.8300
2024-06-13,1.8300
2024-06-14,1.8300
2024-06-17,1.8500
2024-06-18,1.8900
2024-06-19,1.9100
2024-06-20,1.9000
2024-06-21,2.0300
2024-06-24,2.3500
2024-06-25,2.3000
2024-06-26,2.3000
2024-06-27,2.3500
2024-06-28,2.3000
2024-07-01,1.9500
2024-07-02,1.8500
